custom/pamdp_timestep,custom/agent_type,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss,
131072,discrete,3.99,0.34789703,267,5,38,71680,0.004691645,0.004833984,0.2,-0.044663077,0.9898076700046660,0.0003,-0.001124023,340,-0.002044148,9.19363905552473E-05,
133120,continuous,4,0.36876135,266,1,7,63488,0.015319742,0.157470703,0.2,-3.985517219,0.6977835595607760,0.0003,-0.016738381,300,-0.005254769,0.003339392,0.9187127947807310
135168,continuous,4,0.36786058,263,2,15,65536,0.011888417,0.126855469,0.2,-3.974517359,0.9637022018432620,0.0003,0.006941765,310,-0.011009469,0.000125276,0.9153990745544430
137216,continuous,4,0.36767837,264,3,23,67584,0.020194124,0.2421875,0.2,-3.952111637,0.9786278195679190,0.0003,-0.031484772,320,-0.024879785,0.000209895,0.9089234471321110
139264,continuous,4,0.36734241,263,4,31,69632,0.018257549,0.186621094,0.2,-3.9227806,0.9822585973888640,0.0003,-0.026082925,330,-0.013183279,0.000160977,0.9020218849182130
141312,continuous,4,0.37037855,262,5,39,71680,0.017600086,0.163476563,0.2,-3.901953863,0.9758250694721940,0.0003,0.046516448,340,-0.002747864,0.000240427,0.9012983441352840
143360,discrete,4,0.36628982,269,1,7,73728,0.15125722,0.045996094,0.2,-0.004712995,0.8503155261278150,0.0003,-0.019783773,350,-0.028086947,0.001622271,
145408,discrete,4,0.37,262,2,15,75776,2.6106136E-08,0,0.2,-0.001589746,0.9582947976887230,0.0003,0.00021399,360,-8.89E-06,0.000391493,
147456,discrete,4,0.37,263,3,23,77824,0.000241707,0.00078125,0.2,-0.001068851,0.9284137785434720,0.0003,0.000672723,370,-0.00084188,0.000564983,
149504,discrete,4,0.36682168,263,4,31,79872,0,0,0.2,-0.000872712,0.9594785794615750,0.0003,0.000189643,380,-1.87E-07,0.000394264,
151552,discrete,4,0.37113936,261,5,39,81920,0,0,0.2,-0.000822468,0.9592626616358760,0.0003,0.000102946,390,-6.22E-07,0.000389524,
153600,continuous,4,0.37,257,1,7,73728,0.009551033,0.14765625,0.2,-3.894984762,0.9570018798112870,0.0003,-0.0187978,350,0.000541174,0.000432927,0.9030917286872860
155648,continuous,4,0.37,258,2,15,75776,0.01413323,0.184521484,0.2,-3.88954503,0.9727088175714020,0.0003,-0.016919242,360,-0.004267311,0.000263861,0.9032780528068540
157696,continuous,4,0.36803548,256,3,23,77824,0.011870395,0.152587891,0.2,-3.879565377,0.9354958459734920,0.0003,-0.004211938,370,-0.004932883,0.000651846,0.9028566479682920
159744,continuous,4,0.36642236,255,4,32,79872,0.01197309,0.156005859,0.2,-3.879594949,0.9359394982457160,0.0003,-0.018663215,380,-0.005163975,0.00067981,0.9045277237892150
161792,continuous,4,0.37194737,255,5,40,81920,0.011949108,0.143652344,0.2,-3.856056465,0.9598125033080580,0.0003,0.009320837,390,0.00296243,0.000384382,0.8933615684509280
163840,discrete,4,0.37,274,1,7,83968,5.84987E-09,0,0.2,-0.000766468,0.9701070599257950,0.0003,0.000353795,400,-2.72E-06,0.000286966,
165888,discrete,4,0.37071927,265,2,15,86016,5.005859E-09,0,0.2,-0.000805699,0.9518076069653030,0.0003,0.00043777,410,-1.66E-06,0.000445187,
167936,discrete,4,0.37,262,3,23,88064,4.1618478E-09,0,0.2,-0.000636691,0.9693346042186020,0.0003,0.000152855,420,-3.33E-06,0.000261439,
169984,discrete,4,0.36617527,259,4,31,90112,4.452886E-09,0,0.2,-0.000589638,0.9600449204444890,0.0003,0.000124467,430,-6.63E-07,0.000396958,
172032,discrete,4,0.36805603,259,5,39,92160,0,0,0.2,-0.000763736,0.9543559662997720,0.0003,9.03137770364992E-05,440,-2.51E-07,0.000432555,
174080,continuous,3.99,0.36756146,262,1,7,83968,0.012723189,0.159277344,0.2,-3.834682763,0.9558528587222100,0.0003,-0.011723196,400,-0.003040778,0.000428582,0.894498348
176128,continuous,3.98,0.37,259,2,15,86016,0.02457921,0.192431641,0.2,-3.837278037,0.9430140592157840,0.0003,-0.00242733,410,-0.004045362,0.000545187,0.8973104357719420
178176,continuous,3.98,0.36599965,255,3,24,88064,0.019392181,0.205615234,0.2,-3.828817581,0.9317468404769900,0.0003,0.048042051,420,-0.004039664,0.000641051,0.8959620594978330
180224,continuous,4,0.37238692,255,4,32,90112,0.011903455,0.132519531,0.2,-3.813931456,0.9392867498099800,0.0003,0.027299029752612100,430,-0.000362495,0.000647441,0.8926649689674380
182272,continuous,4,0.37223389,256,5,39,92160,0.008712182,0.132470703,0.2,-3.79961821,0.9461927004158500,0.0003,0.012457881,440,-0.000627685,0.000485054,0.8928306698799130
184320,discrete,3.98,0.36995813,269,1,7,94208,0.000750172,0.005078125,0.2,-0.004317896,0.9557886868715290,0.0003,0.000124356,450,-0.000326739,0.000398822,
186368,discrete,4,0.37172848,266,2,15,96256,0.009220578,0.009521484,0.2,-0.000856625,0.9296954199671750,0.0003,0.000343519,460,-0.003951884,0.000649765,
188416,discrete,3.99,0.36829859,263,3,23,98304,2.7986243E-07,0,0.2,-0.000685735,0.9727784488350150,0.0003,-0.000401512,470,-0.000315939,0.000216432,
190464,discrete,4,0.36847561,262,4,31,100352,0.001025217,0.000439453,0.2,-0.000388767,0.9543035589158540,0.0003,4.74905536975712E-05,480,-0.000559329,0.000427795,
192512,discrete,4,0.37,261,5,39,102400,1.9790605E-09,0,0.2,-0.000277824,0.9517505392432210,0.0003,0.000302456,490,-6.32E-07,0.000456279,
194560,continuous,4,0.37210088,264,1,7,94208,0.010035014,0.124658203,0.2,-3.792208589,0.9648460038006310,0.0003,0.000271408,450,-0.000606929,0.000367575,0.8962861895561220
196608,continuous,4,0.37121493,263,2,15,96256,0.009740759,0.127587891,0.2,-3.793544757,0.9571347199380400,0.0003,-0.012173311,460,0.002258497,0.000434717,0.8983981013298040
198656,continuous,4,0.37291786,262,3,23,98304,0.009407727,0.182324219,0.2,-3.80040271,0.9808829594403510,0.0003,-0.027834615,470,-0.003369586,0.000306491,0.9073212146759030
200704,continuous,4,0.37029113,262,4,31,100352,0.011744116,0.14140625,0.2,-3.79389081,0.9642579331994060,0.0003,-0.013892022,480,-0.00577516,0.000363103,0.9023979306221010
202752,continuous,4,0.37015158,258,5,39,102400,0.018439386,0.191796875,0.2,-3.771630888,0.9754035323858260,0.0003,0.034807019,490,-0.001034619,0.000246149,0.898651123
204800,discrete,4,0.37097842,241,1,8,104448,0,0,0.2,-0.000257261,0.9662951976060870,0.0003,0.000134085,500,-2.53E-07,0.000318456,
206848,discrete,3.77,0.33,248,2,16,106496,0.025313798,0.002539063,0.2,-0.003147172,0.9677806124091150,0.0003,-0.021380978,510,-0.000249362,0.000316186,
208896,discrete,4,0.37,248,3,24,108544,0.50607985,0.251464844,0.2,-0.001841109,0.5922478437423710,0.0003,-0.038384013,520,-0.042813527,0.004325148,
210944,discrete,4,0.31,260,4,31,110592,0.058541782,0.078125,0.2,-0.049570489,0.85428448,0.0003,-0.051191904,530,-0.017534209,0.000478818,
212992,discrete,4,0.36939286,260,5,39,112640,0.48684734,0.248486328,0.2,-0.011382601,0.735989511,0.0003,-0.049018219,540,-0.051933988,0.003596107,
215040,continuous,4,0.37304997,245,1,8,104448,0.010118268,0.143945313,0.2,-3.753348622,0.9669792763888840,0.0003,0.006816667,500,0.003546547,0.000326331,0.8988756537437440
217088,continuous,4,0.37,245,2,16,106496,0.012713624,0.208789063,0.2,-3.739326119,0.9842694792896510,0.0003,-0.053190604,510,-0.005714386,0.000172966,0.8907700181007390
219136,continuous,4,0.37123216,248,3,24,108544,0.011966124,0.202050781,0.2,-3.716571959,0.9438183754682540,0.0003,-0.013673691,520,-0.007124902,0.000631079,0.886848509
221184,continuous,4,0.37,248,4,32,110592,0.015037576,0.194335938,0.2,-3.714100608,0.9570548012852670,0.0003,-0.005183225,530,0.000703925,0.000489473,0.8943621516227720
223232,continuous,4,0.37,248,5,41,112640,0.017824775,0.181884766,0.2,-3.712115896,0.9757270347326990,0.0003,-0.004471188,540,-0.000793256,0.000237065,0.8936417698860170
225280,discrete,4,0.37069426,274,1,7,114688,0.00315023,0.000927734,0.2,-0.000865966,0.8850786834955220,0.0003,-0.0010752,550,-0.00172794,0.000366801,
227328,discrete,4,0.37212013,266,2,15,116736,7.3341653E-09,0,0.2,-0.000562032,0.9255773350596430,0.0003,0.000108235,560,-4.37E-06,0.000731723,
229376,discrete,4,0.34,273,3,22,118784,0.008505027,0.027099609,0.2,-0.022573736,0.9693848993629220,0.0003,0.000185881,570,-0.001760535,0.000286234,
231424,discrete,4,0.3709089,270,4,30,120832,0.33316755,0.247119141,0.2,-0.003404708,0.7730955332517620,0.0003,-0.032898411,580,-0.042062939,0.002853402,
233472,discrete,4,0.37069384,268,5,38,122880,3.3149263E-08,0,0.2,-0.000970158,0.9562567062675950,0.0003,3.54200528818183E-05,590,-3.60E-05,0.000355912,
235520,continuous,4,0.37241911,271,1,7,114688,0.010182289,0.146484375,0.2,-3.691631765,0.9568391107022760,0.0003,-0.016511837,550,0.001104187,0.000446806,0.8887092471122740
237568,continuous,4,0.37282783,266,2,15,116736,0.013162319,0.191894531,0.2,-3.661534449,0.9681179411709310,0.0003,0.002221655,560,-0.001155249,0.000311342,0.8836215138435360
239616,continuous,4,0.36692308,266,3,23,118784,0.014365392,0.220068359,0.2,-3.657089083,0.9751770552247760,0.0003,-0.005452082,570,0.000975668,0.000244242,0.8904456496238710
241664,continuous,4,0.37176059,265,4,30,120832,0.019717932,0.223095703,0.2,-3.682558402,0.93371813,0.0003,-0.014928602,580,-0.006862729,0.000751446,0.9010739326477050
243712,continuous,4,0.37,265,5,38,122880,0.020337667,0.163134766,0.2,-3.695794109,0.9726602956652640,0.0003,-0.019046022,590,0.003528453,0.000267537,0.9068304896354680
245760,discrete,4,0.37349969,272,1,7,124928,1.0302756E-08,0,0.2,-0.000726327,0.95891137,0.0003,0.000103071,600,-6.80E-06,0.000395218,
247808,discrete,4,0.36,274,2,14,126976,0.00546617,0.067724609,0.2,-0.085496038,0.9650066308677200,0.0003,0.000698602,610,-0.003539629,0.000331841,
249856,discrete,4,0.37199858,269,3,22,129024,0.20069996,0.058349609,0.2,-0.00365104,0.8346950262784960,0.0003,-0.049643062,620,-0.03319508,0.001916271,
251904,discrete,4,0.37321606,268,4,30,131072,0.000126388,0.000439453,0.2,-0.000752554,0.9617901779711250,0.0003,1.98712950805202E-06,630,-9.88E-05,0.000300674,
253952,discrete,4,0.37,266,5,38,133120,9.284122E-09,0,0.2,-0.000789987,0.9784438945353030,0.0003,-5.19E-05,640,-4.17E-06,0.000204886,
256000,continuous,4,0.36915638,269,1,7,124928,0.017011713,0.213427734,0.2,-3.686344737,0.9671096913516520,0.0003,0.000601977,600,0.003226635,0.000317614,0.9029800295829770
258048,continuous,4,0.37,251,2,16,126976,0.02260999,0.160791016,0.2,-3.650399064,0.9724906962364910,0.0003,-0.018350476,610,0.000510045,0.00027205,0.8916625380516050
260096,continuous,4,0.37084749,249,3,24,129024,0.017675862,0.204492188,0.2,-3.600487674,0.9870902830734850,0.0003,-0.010704773,620,-0.002219278,0.00015776,0.885545552
262144,continuous,4,0.37,250,4,32,131072,0.01731927,0.159228516,0.2,-3.581186675,0.9592678397893910,0.0003,0.014054808765649800,630,0.001095685,0.000407123,0.8815267086029050
264192,continuous,4,0.37300807,239,5,42,133120,0.012562708,0.169580078,0.2,-3.576707421,0.9584875032305720,0.0003,-0.018333754,640,0.000319306,0.000472742,0.8891134858131410
266240,discrete,4,0.3686928,238,1,8,135168,1.3271347E-08,0,0.2,-0.000788012,0.972587215,0.0003,0.000107144,650,-2.67E-06,0.000261872,
268288,discrete,4,0.37,241,2,16,137216,8.381903E-09,0,0.2,-0.000848605,0.9805739261209970,0.0003,8.71436568559147E-05,660,-2.09E-06,0.000176613,
270336,discrete,3.99,0.36846917,244,3,25,139264,0.001332819,0.005078125,0.2,-0.004892358,0.9899692349135880,0.0003,-8.50E-05,670,-0.000838455,9.13819856371845E-05,
272384,discrete,4,0.37,246,4,33,141312,0.001391525,0.009619141,0.2,-0.004328787,0.9462629072368150,0.0003,-0.024845647,680,-0.004657383,0.000496012,
