custom/cycle,custom/agent_name,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/pamdp_timestep,custom/seed,custom/env,time/time_elapsed,custom/agent_type,time/iterations,time/fps,train/approx_kl,train/learning_rate,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss
27,"PPO-PPO",1.0,-6.78245087,167936,331776,1,"Goal-v0",1,"discrete",1,1171,0.0,0.0003,0.0,0.2,0.13099659979343414,0.2778330972418189,810,-0.0005159448055565008,0.0,5.406036507338285e-10
,,1.0,-6.7894800700000015,169984,333824,,,3,"discrete",2,1102,0.0,0.0003,0.0,0.2,0.09479407966136932,0.2558560837991536,820,-0.0005159383086720482,0.0,6.519258022308349e-10
,,1.0,-6.696320480000002,172032,335872,,,5,"discrete",3,1074,0.0,0.0003,0.0,0.2,0.11067438125610352,0.2671617082785815,830,-0.0005159407555765938,0.0,-2.582964953035116e-11
28,"PPO-PPO",1.0,-6.730595720000001,174080,344064,1,"Goal-v0",1,"discrete",1,1226,8.507559e-05,0.0003,0.0,0.2,0.16009488701820374,0.27604985134676097,840,-0.00030244732970459155,0.000439453125,-1.946606280398555e-05
,,1.0,-6.775681,176128,346112,,,3,"discrete",2,1113,0.0,0.0003,0.0,0.2,0.13936106860637665,0.28420480522327124,850,-0.00028912254865645084,0.0,3.055902197957039e-11
,,1.0,-6.74626905,178176,348160,,,5,"discrete",3,1064,0.0,0.0003,0.0,0.2,0.13235116004943848,0.2677047164645046,860,-0.0002891201541388,0.0,1.2711097951978444e-09
29,"PPO-PPO",1.0,-6.728940189999999,180224,356352,1,"Goal-v0",1,"discrete",1,1195,0.0,0.0003,1.1920928955078125e-07,0.2,0.14123208820819855,0.26697402268182485,870,-0.00028912497273267943,0.0,-9.313225746154786e-11
,,1.0,-6.791715449999999,182272,358400,,,3,"discrete",2,1113,0.0,0.0003,0.0,0.2,0.12708912789821625,0.3602856176905334,880,-0.0002891260235628579,0.0,1.8626451492309571e-10
,,1.0,-6.810249229999999,184320,360448,,,5,"discrete",3,1059,0.0,0.0003,2.384185791015625e-07,0.2,0.1323416531085968,0.27921914411708715,890,-0.0002891338764129614,0.0,1.777516445145011e-09
30,"PPO-PPO",1.0,-6.767194339999999,186368,368640,1,"Goal-v0",1,"discrete",1,1157,0.0,0.0003,0.0,0.2,0.14648397266864777,0.30144272088073193,900,-0.00028914505337525044,0.0,-8.789356797933578e-10
,,1.0,-6.693874210000001,188416,370688,,,3,"discrete",2,1095,0.0,0.0003,1.1920928955078125e-07,0.2,0.15420696139335632,0.33253200771287084,910,-0.0002891484120482346,0.0,-3.7180143408477307e-10
,,1.0,-6.73240816,190464,372736,,,5,"discrete",3,1046,0.0,0.0003,0.0,0.2,0.16191627085208893,0.30967812761664393,920,-0.0002891412968892837,0.0,7.275957614183426e-12
31,"PPO-PPO",1.0,-6.6599087699999995,192512,380928,1,"Goal-v0",1,"discrete",1,1189,0.0,0.0003,-1.1920928955078125e-07,0.2,0.20934900641441345,0.299252952914685,930,-0.00028913641235703833,0.0,-9.85164660960436e-10
,,1.0,-6.74135467,194560,382976,,,3,"discrete",2,1114,0.0,0.0003,0.0,0.2,0.15562957525253296,0.3212235265877098,940,-0.0002891458608246467,0.0,-4.663888830691576e-10
,,1.0,-6.8163906,196608,385024,,,5,"discrete",3,1071,0.0,0.0003,0.0,0.2,0.13849005103111267,0.30118921217508615,950,-0.00028916040964759303,0.0,-6.242771632969379e-10
32,"PPO-PPO",1.0,-6.742456329999999,198656,393216,1,"Goal-v0",1,"discrete",1,1217,0.0,0.0003,0.0,0.2,0.18535974621772766,0.2976039073430002,960,-0.00028916406126882065,0.0,2.139131538569927e-10
,,1.0,-6.76496226,200704,395264,,,3,"discrete",2,1112,0.0,0.0003,0.0,0.2,0.14448028802871704,0.33603605078533294,970,-0.00028916383689647773,0.0,8.392817107960581e-10
,,1.0,-6.705633070000001,202752,397312,,,5,"discrete",3,1081,0.0,0.0003,0.0,0.2,0.16891345381736755,0.3005513914860785,980,-0.00028915346247231354,0.0,-1.2369127944111824e-09
33,"PPO-PPO",1.0,-6.8033473,204800,405504,1,"Goal-v0",1,"discrete",1,1162,0.0,0.0003,0.0,0.2,0.15057030320167542,0.30152929620817304,990,-0.00028916746159666216,0.0,-6.166374078020453e-10
,,1.0,-6.777198579999999,206848,407552,,,3,"discrete",2,1056,0.0,0.0003,-1.1920928955078125e-07,0.2,0.1718277484178543,0.36973756677471104,1000,-0.0002891876390094694,0.0,5.5297277867794034e-11
,,1.0,-6.787405550000001,208896,409600,,,6,"discrete",3,1019,0.0,0.0003,0.0,0.2,0.10423949360847473,0.313921178644523,1010,-0.00028916544833919034,0.0,-5.4569682106375694e-11
34,"PPO-PPO",1.0,-6.715204,210944,417792,1,"Goal-v0",1,"discrete",1,1171,0.0,0.0003,1.1920928955078125e-07,0.2,0.1340377926826477,0.31488357069902123,1020,-0.00028917133631694013,0.0,2.2846506908535956e-10
,,1.0,-6.829068100000001,212992,419840,,,3,"discrete",2,1099,0.0,0.0003,0.0,0.2,0.12699490785598755,0.31623146226629617,1030,-0.0002891902487135667,0.0,1.7826096154749393e-10
,,1.0,-6.80542299,215040,421888,,,5,"discrete",3,1052,0.0,0.0003,0.0,0.2,0.13656815886497498,0.3362454836722463,1040,-0.00028919275919179197,0.0,8.687493391335011e-10
35,"PPO-PPO",1.0,-6.704277189999999,217088,430080,1,"Goal-v0",1,"discrete",1,1214,0.0,0.0003,0.0,0.2,0.18157590925693512,0.3192986888345331,1050,-0.00028920110080434827,0.0,1.7025740817189216e-10
,,1.0,-6.781766639999998,219136,432128,,,3,"discrete",2,1116,0.0,0.0003,5.960464477539063e-08,0.2,0.1959761381149292,0.35055634533055124,1060,-0.000289161397904536,0.0,-6.213667802512646e-10
,,1.0,-6.85106043,221184,434176,,,5,"discrete",3,1064,0.0,0.0003,1.7881393432617188e-07,0.2,0.209549218416214,0.3304630128201097,1070,-0.0002891340520363883,0.0,1.7571437638252974e-09
36,"PPO-PPO",1.0,-6.81602871,223232,442368,1,"Goal-v0",1,"discrete",1,1197,0.0,0.0003,0.0,0.2,0.16144917905330658,0.33103449740447105,1080,-0.00028913230835314607,0.0,2.5902409106492997e-10
,,1.0,-6.839476020000001,225280,444416,,,3,"discrete",2,1104,0.0,0.0003,1.1920928955078125e-07,0.2,0.19539758563041687,0.33423082693479955,1090,-0.00028914530194015244,0.0,-5.333276931196451e-10
,,1.0,-6.748297529999999,227328,446464,,,5,"discrete",3,1087,0.0,0.0003,-1.1920928955078125e-07,0.2,0.14780288934707642,0.339896603859961,1100,-0.0002891237130825175,0.0,5.413312464952469e-10
37,"PPO-PPO",1.0,-6.72339397,229376,454656,1,"Goal-v0",1,"discrete",1,1153,0.0,0.0003,0.0,0.2,0.21035929024219513,0.33832162809558214,1110,-0.0002891185768930882,0.0,5.093170329928398e-11
,,1.0,-6.84823836,231424,456704,,,3,"discrete",2,1096,0.0,0.0003,0.0,0.2,0.13912075757980347,0.35124986111186446,1120,-0.0002891139442908752,0.0,-1.6443664208054544e-10
,,1.0,-6.790711859999999,233472,458752,,,5,"discrete",3,1056,0.0,0.0003,0.0,0.2,0.13506248593330383,0.33130483063869176,1130,-0.0002891101336899737,0.0,-1.1466909199953079e-09
38,"PPO-PPO",1.0,-6.8703728,235520,466944,1,"Goal-v0",1,"discrete",1,1209,0.0,0.0003,0.0,0.2,0.167377308011055,0.3167389291804284,1140,-0.0002891187921704841,0.0,1.5541445463895797e-09
,,1.0,-6.728925090000001,237568,468992,,,3,"discrete",2,1112,0.0,0.0003,0.0,0.2,0.17386940121650696,0.3381983081344515,1150,-0.00028910187656947526,0.0,4.4674379751086234e-10
