time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,49,0.33842045,8,"Platform-v0","PPO-PPO",102400,4.44,244,1,"discrete",200704,0.0011489582,0.025830078125,0.0003,0.004682997241616249,0.2,490,-0.05726065734343137,0.8466168940067291,0.008196855259302537,0.0010496379217329378
1,50,0.33743378999999996,8,"Platform-v0","PPO-PPO",104448,4.45,243,1,"discrete",204800,0.0011316283,0.0275390625,0.0003,0.0010001783957704902,0.2,500,-0.053298886900302024,0.889380931854248,0.009163254090526606,0.0008732463404157898
1,51,0.33246002999999996,7,"Platform-v0","PPO-PPO",106496,4.43,259,1,"discrete",208896,0.009929186,0.03251953125,0.0003,0.014243559911847115,0.2,510,-0.059888011624570935,0.8557571172714233,0.008725315870833583,0.0010645666486198025
1,52,0.33381041000000006,7,"Platform-v0","PPO-PPO",108544,4.41,257,1,"discrete",212992,0.008735441,0.032373046875,0.0003,-0.0009571120026521385,0.2,520,-0.05785663263231981,0.7969671189785004,-0.0005203810971579515,0.00172234380406735
1,53,0.3356543799999999,8,"Platform-v0","PPO-PPO",110592,4.43,243,1,"discrete",217088,0.0023802202,0.0287109375,0.0003,-0.011437579058110714,0.2,530,-0.05056196083605755,0.8194926083087921,-0.0010358000654377975,0.0013799554080833332
1,54,0.34108384999999997,8,"Platform-v0","PPO-PPO",112640,4.23,242,1,"discrete",221184,0.006091128,0.028759765625,0.0003,-0.013554772362112999,0.2,540,-0.0531178973353235,0.8200478851795197,-0.0003960096786613576,0.0013742051985900616
1,55,0.3392330099999999,8,"Platform-v0","PPO-PPO",114688,4.34,244,1,"discrete",225280,0.014525177,0.031396484375,0.0003,-0.011728513054549694,0.2,550,-0.03875023081636755,0.8768742457032204,0.021283917040273083,0.0007099988609752472
1,56,0.33987344000000014,8,"Platform-v0","PPO-PPO",116736,4.26,239,1,"discrete",229376,0.0010608516,0.02275390625,0.0003,-0.0003640467475634068,0.2,560,-0.04689074258494656,0.7636155486106873,0.004708167568605859,0.0009611496235265804
1,57,0.3408295700000001,8,"Platform-v0","PPO-PPO",118784,4.25,235,1,"discrete",233472,0.0034768858,0.0244140625,0.0003,-0.028956573456525803,0.2,570,-0.0450925630851998,0.8632718771696091,0.004691237177758012,0.0010989812469233585
1,58,0.3430722300000001,10,"Platform-v0","PPO-PPO",120832,4.07,204,1,"discrete",237568,0.0052596144,0.015283203125,0.0003,-0.01041228324174881,0.2,580,-0.03204986902856035,0.8991547450423241,0.0029548051934398245,0.0007982544585502183
