time/total_timesteps,custom/cycle,rollout/ep_rew_mean,time/iterations,custom/pamdp_timestep,custom/seed,time/time_elapsed,custom/agent_name,time/fps,custom/agent_type,custom/env,rollout/ep_len_mean,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/loss
53248,25,-7.635589339999999,1,104448,1,3,"PPO-PPO",610,"continuous","Goal-v0",1.21,-5.4025565803051,0.4376107454299927,250,0.01096251,0.9397827386856079,-0.005355370755569311,0.0003,0.2,11.747758281230926,0.118701171875,3.8543050289154053
55296,26,-8.411536360000001,1,108544,1,3,"PPO-PPO",624,"continuous","Goal-v0",1.24,-5.404582907259464,0.33273881673812866,260,0.011501456,0.9312308430671692,-0.010527796010137536,0.0003,0.2,16.988184882700445,0.1578125,2.494511127471924
57344,27,-7.514190939999999,1,112640,1,3,"PPO-PPO",615,"continuous","Goal-v0",1.24,-5.378495579957962,0.35645514726638794,270,0.009404309,0.92766273021698,-0.004032317279052222,0.0003,0.2,18.733909153193235,0.11630859375,6.233370304107666
59392,28,-7.95123703,1,116736,1,3,"PPO-PPO",603,"continuous","Goal-v0",1.23,-5.368059997260571,0.28850024938583374,280,0.015130995,0.9267779588699341,-0.004605477523000445,0.0003,0.2,24.6549072496593,0.1439453125,5.545856475830078
61440,29,-7.91949342,1,120832,1,3,"PPO-PPO",580,"continuous","Goal-v0",1.25,-5.365901009738446,0.4219157099723816,290,0.01202018,0.9277709126472473,-0.009415612678276375,0.0003,0.2,12.57735778838396,0.16826171875,4.763916015625
63488,30,-8.055982989999999,1,124928,1,3,"PPO-PPO",523,"continuous","Goal-v0",1.24,-5.369085668027401,0.3175157904624939,300,0.009613123,0.9289799928665161,-0.0034526791641837917,0.0003,0.2,24.669277388602495,0.131005859375,4.411952018737793
65536,31,-7.7651193,1,129024,1,3,"PPO-PPO",575,"continuous","Goal-v0",1.21,-5.374451707303524,0.28895658254623413,310,0.0076062223,0.9315245151519775,-0.00937519324979803,0.0003,0.2,25.037287049740552,0.1203125,4.744148254394531
67584,32,-8.22566772,1,133120,1,3,"PPO-PPO",601,"continuous","Goal-v0",1.29,-5.382507368922234,0.23685705661773682,320,0.0061373175,0.9317991733551025,-0.004497904406161979,0.0003,0.2,32.23676371723413,0.11611328125,3.4792873859405518
69632,33,-7.8120001100000005,1,137216,1,3,"PPO-PPO",625,"continuous","Goal-v0",1.2,-5.366922853887081,0.1570684313774109,330,0.007560851,0.9254862666130066,-0.008775661627441877,0.0003,0.2,53.78306056261063,0.09677734375,46.538570404052734
71680,34,-7.2831882299999995,1,141312,1,3,"PPO-PPO",587,"continuous","Goal-v0",1.28,-5.351603919267655,0.1972179412841797,340,0.009788368,0.9239593148231506,-0.011293426741031,0.0003,0.2,52.0427926287055,0.12509765625,3.9433462619781494
73728,35,-7.568607020000001,1,145408,1,3,"PPO-PPO",579,"continuous","Goal-v0",1.18,-5.343017642199993,0.1969248652458191,350,0.010021663,0.920539379119873,-0.008337667868181598,0.0003,0.2,46.14528075158596,0.13623046875,51.91518020629883
75776,36,-6.76777609,1,149504,1,3,"PPO-PPO",573,"continuous","Goal-v0",1.17,-5.330579084157944,0.20720988512039185,360,0.010787088,0.9194795489311218,-0.011909545975504443,0.0003,0.2,41.873665512353185,0.1568359375,4.488731384277344
77824,37,-6.90553918,1,153600,1,3,"PPO-PPO",572,"continuous","Goal-v0",1.22,-5.320852692425251,0.12920361757278442,370,0.007210347,0.9165664315223694,-0.008396630409697537,0.0003,0.2,73.5221077695489,0.1220703125,53.82710647583008
79872,38,-6.54665979,1,157696,1,3,"PPO-PPO",583,"continuous","Goal-v0",1.19,-5.3123876571655275,0.16662359237670898,380,0.01191791,0.916450560092926,-0.016460524982539936,0.0003,0.2,86.81803539395332,0.16669921875,26.50395393371582
81920,39,-6.643413010000001,1,161792,1,3,"PPO-PPO",595,"continuous","Goal-v0",1.23,-5.3089791387319565,0.15956330299377441,390,0.008555565,0.9145169258117676,-0.005987995160830905,0.0003,0.2,66.62426409721374,0.120263671875,29.4122371673584
83968,40,-4.15510938,1,165888,1,3,"PPO-PPO",546,"continuous","Goal-v0",1.21,-5.304577577114105,0.1704232096672058,400,0.011476163,0.9151488542556763,-0.007658235988492379,0.0003,0.2,83.38988928943873,0.13486328125,7.479477405548096
86016,41,-7.752418939999997,1,169984,1,3,"PPO-PPO",527,"continuous","Goal-v0",1.21,-5.298447135090828,0.17414361238479614,410,0.0069699334,0.9097686409950256,-0.007068731373510673,0.0003,0.2,105.27366323322057,0.141015625,69.59427642822266
88064,42,-6.46208049,1,174080,1,3,"PPO-PPO",551,"continuous","Goal-v0",1.15,-5.278978624939919,0.20811688899993896,420,0.008397257,0.9085109829902649,-0.007299963630066486,0.0003,0.2,83.73039644062519,0.095751953125,47.04302215576172
90112,43,-5.55565938,1,178176,1,3,"PPO-PPO",542,"continuous","Goal-v0",1.19,-5.25555716753006,0.19496798515319824,430,0.00813324,0.9009653329849243,-0.005504379046033137,0.0003,0.2,90.03489244133235,0.124853515625,43.98056411743164
92160,44,-5.81581955,1,182272,1,3,"PPO-PPO",585,"continuous","Goal-v0",1.2,-5.213025757670403,0.2017090916633606,440,0.0115506835,0.8895730376243591,-0.00451650735012663,0.0003,0.2,97.75389802455902,0.09560546875,45.60109329223633
