custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
"Platform-v0","PPO-PPO",1,0.30193144,51200,"discrete",1,4.17,259,98304,8,7,0.2,0.8070984482765198,0.02119140625,0.00022422374750021845,240,0.00048213551053777337,0.0014869235,0.0003,0.0015367083960882155,-0.08473700832691974
,,,0.310603,53248,"discrete",2,4.2,256,100352,,15,0.2,0.7958948910236359,0.014697265625,-0.00062882610836823,250,-0.006693351082503796,0.0009025463,0.0003,0.001575124137707462,-0.07678739397088066
,,,0.31000141999999997,55296,"discrete",3,4.24,252,102400,,24,0.2,0.8150049448013306,0.0357421875,0.0003502562962239608,260,-0.005010677967220545,0.0028906534,0.0003,0.0016028293654017033,-0.07949176429538056
"Platform-v0","PPO-PPO",1,0.33446073,57344,"discrete",1,4.09,251,110592,9,8,0.2,0.8314395099878311,0.019970703125,-0.000988227991911117,270,-0.011159266345202923,0.0028317631,0.0003,0.001318640122008219,-0.08390360662015155
,,,0.32646814999999996,59392,"discrete",2,4.14,244,112640,,16,0.2,0.8527841567993164,0.02060546875,0.005262556544039398,280,0.017367921769618988,0.0035633738,0.0003,0.0011756516414607177,-0.05663699134602211
,,,0.32533624000000005,61440,"discrete",3,4.15,249,114688,,24,0.2,0.8513473719358444,0.01640625,-0.0004893726159934886,290,0.009469813667237759,0.0048598656,0.0003,0.001208906857027614,-0.06502047949179542
"Platform-v0","PPO-PPO",1,0.34852898,63488,"discrete",1,4.01,247,122880,10,8,0.2,0.821591928601265,0.01787109375,-0.0022905922218342313,300,-0.004656102973967791,0.0019192011,0.0003,0.0015453290885488967,-0.055622722045518457
,,,0.34375341000000004,65536,"discrete",2,4.06,244,124928,,16,0.2,0.9200481846928596,0.030126953125,0.026572152264998296,310,-0.007559855934232473,0.011377212,0.0003,0.0005872425204870524,-0.0459271735715447
,,,0.34883199,67584,"discrete",3,4.02,245,126976,,25,0.2,0.907177709043026,0.013623046875,0.004046915295475628,320,-0.0011682282201945782,0.0013650269,0.0003,0.0008323066513639787,-0.041803840850479904
"Platform-v0","PPO-PPO",1,0.35403906999999996,69632,"discrete",1,4.01,249,135168,11,8,0.2,0.9121705442667007,0.014794921875,0.001273022663372103,330,0.17030316591262817,0.0055614384,0.0003,0.0007502156661757908,-0.04413284375186777
,,,0.36054454999999996,71680,"discrete",2,4.0,244,137216,,16,0.2,0.8878853693604469,0.013330078125,-0.008450592607550789,340,-0.01638796366751194,0.0016737946,0.0003,0.001073922027944718,-0.035050333352410236
,,,0.33129114000000004,73728,"discrete",3,3.98,248,139264,,24,0.2,0.9627943076193333,0.136767578125,0.1679147608578205,350,-0.03546461462974548,0.047793433,0.0003,0.0002766583028403602,-0.13499836802366189
"Platform-v0","PPO-PPO",1,0.36542541,75776,"discrete",1,4.0,258,147456,12,7,0.2,0.7742532044649124,0.22490234375,-0.036888138460926714,360,-0.03990020602941513,0.14582601,0.0003,0.002605008756290772,-0.029113237457931974
,,,0.3621430400000001,77824,"discrete",2,3.99,249,149504,,16,0.2,0.9174268022179604,0.004833984375,-0.003349323455040576,370,-0.014793007634580135,0.00096051,0.0003,0.0006163451333264902,-0.016956417472101748
,,,0.36568974,79872,"discrete",3,4.0,249,151552,,24,0.2,0.968763081356883,0.003955078125,-0.003474741132959025,380,-0.00014045114221516997,0.00084868306,0.0003,0.0002674290039152538,-0.009034349016292253
"Platform-v0","PPO-PPO",1,0.3701187399999999,81920,"discrete",1,4.0,255,159744,13,8,0.2,0.9818619154393673,0.002880859375,-0.0034058131648635028,390,-0.00015707395505160093,0.00088321767,0.0003,0.00016084980848347642,-0.004413982072583167
,,,0.37247592000000007,83968,"discrete",2,4.0,250,161792,,16,0.2,0.9784935433417559,0.000439453125,-0.0006204554476425983,400,0.00014774262672290206,0.00013835568,0.0003,0.00018891018702618111,-0.0020020341838971945
,,,0.36728584000000003,86016,"discrete",3,4.0,246,163840,,24,0.2,0.9811276812106371,0.0,-5.884627862542402e-05,410,-0.0018377895466983318,1.2629316e-05,0.0003,0.00017846620952468583,-0.003975444468596834
"Platform-v0","PPO-PPO",1,0.3726476000000001,88064,"discrete",1,4.0,245,172032,14,8,0.2,0.945331696420908,0.004833984375,-0.005969656047818716,420,-0.0009969525272026658,0.01523786,0.0003,0.0005189360716912006,-0.0032212860216532134
,,,0.3723824400000001,90112,"discrete",2,4.0,246,174080,,16,0.2,0.9865756891667843,0.000439453125,-0.00032273226606776005,430,-0.0018346754368394613,0.00016366705,0.0003,0.0001279516844022055,-0.001432584389931435
,,,0.37195698000000005,92160,"discrete",3,4.0,244,176128,,25,0.2,0.9784424919635057,0.0,-9.837023026193491e-06,440,0.00014295493019744754,1.8760329e-07,0.0003,0.000207337987060896,-0.0008330810148436286
"Platform-v0","PPO-PPO",1,0.36941262,94208,"discrete",1,4.0,211,184320,15,9,0.2,0.9766581635922194,0.0,-2.5085573724936694e-06,450,0.00012691023584920913,3.3760443e-09,0.0003,0.00020846872519655335,-0.000785917408484238
,,,0.37116917,96256,"discrete",2,4.0,208,186368,,19,0.2,0.9600390158593655,0.01318359375,-0.001103402828084654,460,-0.01804797537624836,0.00017754172,0.0003,0.0004024671934303115,-0.019358935385298537
,,,0.37367107999999993,98304,"discrete",3,4.0,207,188416,,29,0.2,0.9384367614984512,0.00078125,-0.000300516773131676,470,5.223476910032332e-05,0.0011256237,0.0003,0.0003548109120302456,-0.0008168237571680948
"Platform-v0","PPO-PPO",1,0.3692258099999999,100352,"discrete",1,4.0,224,196608,16,9,0.2,0.9796404633671045,0.0,-4.7453533625230195e-06,480,8.225450437748805e-05,2.910383e-11,0.0003,0.00012661630058090622,-0.00028817402085223875
,,,0.3745674600000001,102400,"discrete",2,4.0,218,198656,,18,0.2,0.9642767868936062,0.0,-7.620341420988552e-07,490,1.833679743867833e-05,0.0,0.0003,0.0003238689612473422,-0.0002684794982087624
,,,0.3715753000000001,104448,"discrete",3,4.0,216,200704,,28,0.2,0.9652121551334858,0.0,-4.6256849600467834e-06,500,0.00021093494433443993,2.2992026e-09,0.0003,0.00032489292378414805,-0.0004505964042891719
"Platform-v0","PPO-PPO",1,0.37214736000000015,106496,"discrete",1,4.0,228,208896,17,8,0.2,0.9560368433594704,0.0,-7.167993317125365e-06,510,-5.022968252887949e-06,1.8044375e-09,0.0003,0.00044107997789097906,-0.0005030656917369925
,,,0.37240079000000004,108544,"discrete",2,4.0,221,210944,,18,0.2,0.9533687308430672,0.0,-1.402679190505296e-05,520,1.687681651674211e-05,2.0483276e-07,0.0003,0.00040444111923392255,-0.0007448375691637921
,,,0.37232277999999996,110592,"discrete",3,4.0,222,212992,,27,0.2,0.9449858106672764,0.0009765625,-0.0010487123472557869,530,-1.9827886717393994e-05,0.002805374,0.0003,0.0005360175080141971,-0.0009127887600243412
"Platform-v0","PPO-PPO",1,0.37189848999999997,112640,"discrete",1,4.0,231,221184,18,8,0.2,0.937473900616169,0.0,-3.5824326914735138e-06,540,0.0002609856310300529,6.4028427e-10,0.0003,0.0005184118688362105,-0.00023192456833385223
,,,0.36871057000000007,114688,"discrete",2,4.0,226,223232,,18,0.2,0.9195534884929657,0.0,-1.2856617104262114e-07,550,0.0005740115884691477,0.0,0.0003,0.0008258077867225211,-0.00016848305072016955
,,,0.3679205099999999,116736,"discrete",3,4.0,225,225280,,27,0.2,0.9040644690394402,0.0,-3.418550477363169e-07,560,0.00034181762021034956,0.0,0.0003,0.0009349855712343924,-0.00018084306102537085
"Platform-v0","PPO-PPO",1,0.36852866,118784,"discrete",1,4.0,218,233472,19,9,0.2,0.928221806883812,0.0,-8.336413884535432e-07,570,0.000617121928371489,3.2014214e-09,0.0003,0.000705897959073809,-0.00019675632469215998
,,,0.36568333,120832,"discrete",2,4.0,216,235520,,18,0.2,0.9535865671932697,0.0,-3.441731678321958e-07,580,0.00022576410265173763,1.6298145e-09,0.0003,0.00046247362645885915,-0.0002165016676826781
,,,0.37500094000000006,122880,"discrete",3,4.0,216,237568,,28,0.2,0.9556778520345688,0.0,-1.0531530278967693e-06,590,-1.717795748845674e-05,1.1204975e-08,0.0003,0.0004300052351922545,-0.00022535884577337128
"Platform-v0","PPO-PPO",1,0.37365021,124928,"discrete",1,4.0,227,245760,20,9,0.2,0.9723940920084715,0.000634765625,-3.0167817567416932e-05,600,0.00013326574116945267,5.0931703e-09,0.0003,0.00026999642196017247,-0.0013117475929163903
,,,0.36489855,126976,"discrete",2,3.96,222,247808,,18,0.2,0.9813675880432129,0.013330078125,-0.0024018861055083106,610,0.00017510299221612513,0.05420535,0.0003,0.000181115990361036,-0.0047464453329439495
,,,0.3723348,129024,"discrete",3,4.0,221,249856,,27,0.2,0.8675598800182343,0.01083984375,-0.009846362049574963,620,-0.01758456788957119,0.079965904,0.0003,0.0009999375951338153,-0.0005925330360696535
"Platform-v0","PPO-PPO",1,0.25945974,131072,"discrete",1,4.0,352,258048,21,5,0.2,0.941659651696682,0.130908203125,-0.010782852474949322,630,-0.026848258450627327,0.44954544,0.0003,0.00035696163143938975,-0.06675321398029155
,,,0.28645062,133120,"discrete",2,3.99,319,260096,,12,0.2,0.9032232984900475,0.2466796875,-0.039451735670445486,640,-0.017838919535279274,0.11258209,0.0003,0.0013158141789517686,-0.08871469542136765
,,,0.34704224000000006,135168,"discrete",3,4.0,283,262144,,21,0.2,0.7415257394313812,0.24775390625,-0.04508579567191191,650,-0.0590546540915966,0.07104428,0.0003,0.003209763912309427,-0.06668221243307926
"Platform-v0","PPO-PPO",1,0.3728186,137216,"discrete",1,4.0,235,270336,22,8,0.2,0.7640208452939987,0.23671875,-0.04383209860534407,660,-0.04154687747359276,0.25749153,0.0003,0.002656509128064499,-0.0035652920856591662
,,,0.37407544000000004,139264,"discrete",2,4.0,231,272384,,17,0.2,0.9475800283253193,0.000390625,-0.00041237248442485,670,0.00011578617704799399,0.00045792115,0.0003,0.0005009164199066163,-0.00189168350862019
,,,0.33777527,141312,"discrete",3,4.0,238,274432,,25,0.2,0.9556513503193855,0.0947265625,-0.005170580502453959,680,-0.04886500537395477,0.027831234,0.0003,0.0004268856390197584,-0.08754673335097322
"Platform-v0","PPO-PPO",1,0.3722501299999999,143360,"discrete",1,4.0,242,282624,23,8,0.2,0.7565234154462814,0.241796875,-0.045599853747989985,690,-0.03858201950788498,0.20042045,0.0003,0.003133603803871665,-0.08765076244017109
,,,0.37124511000000004,145408,"discrete",2,3.98,237,284672,,17,0.2,0.9513946324586868,0.023193359375,-0.01900464982172707,700,-0.022283107042312622,0.08498091,0.0003,0.00032298540266708644,-0.010550270949534025
,,,0.37478472,147456,"discrete",3,4.0,236,286720,,25,0.2,0.9488896690309048,0.011279296875,-0.005077757067920174,710,-0.03614302724599838,0.007895154,0.0003,0.0004447450794586416,-0.0049122009386337595
"Platform-v0","PPO-PPO",1,0.34663501,149504,"discrete",1,3.99,261,294912,24,7,0.2,0.9808011464774609,0.19482421875,-0.01874250363034662,720,-0.030329931527376175,0.01402353,0.0003,0.0001466945005986986,-0.1504073440490174
,,,0.36838971,151552,"discrete",2,3.99,249,296960,,16,0.2,0.8098869919776917,0.203271484375,-0.031738749911892225,730,-0.04248611629009247,0.109766036,0.0003,0.0022489257864435784,-0.10946279383497312
,,,0.3729123100000001,153600,"discrete",3,4.0,243,299008,,25,0.2,0.9539085663855076,0.03388671875,-0.023411143486737274,740,-0.024154216051101685,0.12657207,0.0003,0.0004305802195574415,-0.008266185779939405
"Platform-v0","PPO-PPO",1,0.37430544000000004,155648,"discrete",1,4.0,241,307200,25,8,0.2,0.9540370777249336,0.0,-3.5719321022043e-05,750,0.00022454321151599288,2.658635e-07,0.0003,0.0004326493790188124,-0.0037622832282067976
,,,0.37406504999999995,157696,"discrete",2,4.0,238,309248,,17,0.2,0.9783090390264988,0.000927734375,-0.0006250519938475918,760,-0.00025323545560240746,0.0005820036,0.0003,0.00019821909271868776,-0.0026439960631250868
,,,0.37282631,159744,"discrete",3,4.0,233,311296,,26,0.2,0.9588465206325054,0.000439453125,-0.00011313786890241318,770,2.6211346266791224e-06,4.247279e-05,0.0003,0.00040112861345278363,-0.0016160789744390058
"Platform-v0","PPO-PPO",1,0.37160967999999983,161792,"discrete",1,4.0,226,319488,26,9,0.2,0.9528088346123695,0.0041015625,-0.00022858880129206227,780,0.0004272291553206742,0.00032457703,0.0003,0.00043248624727567633,-0.004657125462108525
,,,0.37152639,163840,"discrete",2,4.0,228,321536,,17,0.2,0.9310687631368637,0.01220703125,-0.002798697913385695,790,0.0005853759357705712,0.002222325,0.0003,0.0006753618025584273,-0.0026840018483198945
,,,0.37302282,165888,"discrete",3,4.0,229,323584,,26,0.2,0.9375242926180363,0.000927734375,-0.0013769457938906271,800,0.0002255540748592466,0.0018607285,0.0003,0.0006142235963380926,-0.0008867387244208657
"Platform-v0","PPO-PPO",1,0.37119332,167936,"discrete",1,4.0,227,331776,27,8,0.2,0.9719820730388165,0.000439453125,-0.00014249649830162526,810,0.00021799995738547295,3.370442e-05,0.0003,0.00026445155153993484,-0.0006405846479538013
,,,0.37041324000000003,169984,"discrete",2,4.0,221,333824,,18,0.2,0.981195617467165,0.000439453125,-0.00032638159682392144,820,0.00034805131144821644,0.00023585564,0.0003,0.0001797274687426409,-0.0005811111106140743
,,,0.37421085,172032,"discrete",3,4.0,223,335872,,27,0.2,0.9543633908033371,0.000439453125,-0.0006188174855196848,830,6.550474790856242e-05,0.001725887,0.0003,0.0004535659160623595,-0.00046252933175310317
