time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,custom/pamdp_timestep,custom/agent_type,time/fps,time/time_elapsed,train/clip_fraction,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates
4,110592,4.0,0.3144351,210944,"discrete",260,31,0.078125,0.854284480214119,0.058541782,0.00047881840219474723,-0.05119190365076065,0.2,-0.04957048927344658,-0.017534209311634186,0.0003,530
5,112640,4.0,0.36939285999999993,212992,"discrete",260,39,0.248486328125,0.735989511013031,0.48684734,0.0035961073452199345,-0.049018219113349915,0.2,-0.011382600939396071,-0.051933987997472286,0.0003,540
1,114688,4.0,0.37069425999999994,225280,"discrete",274,7,0.000927734375,0.8850786834955215,0.0031502303,0.0003668011211203748,-0.0010751999216154218,0.2,-0.0008659663128128159,-0.0017279395091463813,0.0003,550
2,116736,4.0,0.37212013000000005,227328,"discrete",266,15,0.0,0.9255773350596428,7.3341653e-09,0.0007317232091253345,0.00010823483171407133,0.2,-0.0005620319740046398,-4.3708492739824575e-06,0.0003,560
3,118784,4.0,0.33716142,229376,"discrete",273,22,0.027099609375,0.9693848993629217,0.008505027,0.0002862339056065366,0.00018588051898404956,0.2,-0.02257373639195066,-0.0017605354884835834,0.0003,570
4,120832,4.0,0.37090890000000004,231424,"discrete",270,30,0.247119140625,0.7730955332517624,0.33316755,0.0028534019042126602,-0.03289841115474701,0.2,-0.0034047081158860236,-0.04206293899915181,0.0003,580
5,122880,4.0,0.37069384000000005,233472,"discrete",268,38,0.0,0.9562567062675953,3.3149263e-08,0.0003559124238563527,3.5420052881818265e-05,0.2,-0.0009701578749627515,-3.6032126081408934e-05,0.0003,590
1,124928,4.0,0.37349968999999994,245760,"discrete",272,7,0.0,0.958911370486021,1.0302756e-08,0.0003952179669411748,0.00010307098273187876,0.2,-0.0007263267165399156,-6.798926915507764e-06,0.0003,600
2,126976,4.0,0.36291169,247808,"discrete",274,14,0.067724609375,0.9650066308677197,0.0054661697,0.0003318414246706425,0.0006986024673096836,0.2,-0.08549603770716203,-0.0035396288760239257,0.0003,610
3,129024,4.0,0.37199858000000013,249856,"discrete",269,22,0.058349609375,0.8346950262784958,0.20069996,0.001916270856418123,-0.04964306205511093,0.2,-0.0036510403733700514,-0.03319507960113697,0.0003,620
4,131072,4.0,0.37321605999999996,251904,"discrete",268,30,0.000439453125,0.9617901779711246,0.00012638798,0.00030067415940635554,1.9871295080520213e-06,0.2,-0.0007525542355324433,-9.880937286652625e-05,0.0003,630
5,133120,4.0,0.37234344,253952,"discrete",266,38,0.0,0.9784438945353031,9.284122e-09,0.0002048863342153595,-5.185309055377729e-05,0.2,-0.0007899874627582904,-4.1677121771499515e-06,0.0003,640
