time/iterations,custom/cycle,rollout/ep_rew_mean,time/time_elapsed,custom/env,custom/agent_name,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/seed,custom/agent_type,custom/pamdp_timestep,train/approx_kl,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/n_updates,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/value_loss
1,58,0.3456706299999999,9,"Platform-v0","PPO-PPO",120832,4.08,227,1,"continuous",239616,0.016340919,0.20634765625,0.0003,-0.027754634618759155,0.2,0.8275397419929504,580,-3.496749410033226,0.9189185872673988,-0.012855271443550009,0.0006683688025532319
1,59,0.34843463,8,"Platform-v0","PPO-PPO",122880,4.04,233,1,"continuous",243712,0.019091468,0.225146484375,0.0003,-0.007029540371149778,0.2,0.8264336585998535,590,-3.499953055381775,0.9365058317780495,-0.019040382850653258,0.0004988812774172402
1,60,0.31142764,7,"Platform-v0","PPO-PPO",124928,4.0,256,1,"continuous",247808,0.013573082,0.189794921875,0.0003,-0.008763003163039684,0.2,0.8213850855827332,600,-3.4787141501903536,0.9402542747557163,-0.017983458090020575,0.0004765402835118948
1,61,0.33564281,8,"Platform-v0","PPO-PPO",126976,3.96,235,1,"continuous",251904,0.010913443,0.164599609375,0.0003,-0.02280951291322708,0.2,0.824723482131958,610,-3.4644041493535043,0.5750553607940674,-0.012991873128339649,0.004463118332932936
1,62,0.29976304,7,"Platform-v0","PPO-PPO",129024,3.98,268,1,"continuous",256000,0.0148394415,0.1962890625,0.0003,-0.014806457795202732,0.2,0.8225887417793274,620,-3.456320881843567,0.691311776638031,-0.01671465862018522,0.0027007447142750607
1,63,0.34611550999999996,8,"Platform-v0","PPO-PPO",131072,3.98,240,1,"continuous",260096,0.012808326,0.180419921875,0.0003,-0.008770021609961987,0.2,0.8196002840995789,630,-3.441292355209589,0.6908063888549805,-0.013919510037521832,0.003273354092380032
1,64,0.359328,8,"Platform-v0","PPO-PPO",133120,4.02,239,1,"continuous",264192,0.03103892,0.244970703125,0.0003,-0.037043046206235886,0.2,0.8119937777519226,640,-3.4166931435465813,0.8796414285898209,-0.018569856640533546,0.001048245732624764
1,65,0.31360655000000004,7,"Platform-v0","PPO-PPO",135168,4.01,289,1,"continuous",268288,0.013144167,0.17705078125,0.0003,-0.008848387748003006,0.2,0.8010158538818359,650,-3.374267365783453,0.9733431842178106,-0.018441550209536216,0.00017253836534791844
1,66,0.3535866700000001,8,"Platform-v0","PPO-PPO",137216,3.96,242,1,"continuous",272384,0.010954719,0.14111328125,0.0003,0.0012822096468880773,0.2,0.8097557425498962,660,-3.3622415497899056,0.752535954117775,-0.011802432738477364,0.002891522293066373
1,67,0.35921323,8,"Platform-v0","PPO-PPO",139264,4.0,239,1,"continuous",276480,0.016655095,0.20048828125,0.0003,-0.016647838056087494,0.2,0.8213992714881897,670,-3.396018298715353,0.9374967142939568,-0.006295811181189492,0.0004777038640668252
