custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
,,,0.3710465,86016,"continuous",3,4.0,250,169984,,24,0.2,0.8283494114875793,0.9643445760011673,0.18203125,-0.00048638953230693003,410,-0.01442260853946209,0.016637772,0.0003,0.0003544209543406396,-3.598553390800953
"Platform-v0","PPO-PPO",1,0.36924093999999996,88064,"continuous",1,4.0,219,178176,14,9,0.2,0.816523015499115,0.9583211801946163,0.11396484375,-0.004739812630577944,420,0.01685883104801178,0.008429183,0.0003,0.00038590928343040787,-3.5682670898735522
,,,0.3699352200000001,90112,"continuous",2,4.0,210,180224,,19,0.2,0.8105263113975525,0.9699448700994253,0.16728515625,0.003465757384401513,430,0.013184947893023491,0.01391415,0.0003,0.0002885327111940228,-3.5287501201033593
,,,0.36997576000000004,92160,"continuous",3,3.99,205,182272,,29,0.2,0.8130708336830139,0.9726157933473587,0.168212890625,0.0029461245787388178,440,0.001799416495487094,0.021871107,0.0003,0.0002774198362331504,-3.511212718486786
"Platform-v0","PPO-PPO",1,0.36995911,94208,"continuous",1,4.0,219,190464,15,9,0.2,0.8106700778007507,0.9515218287706375,0.159228515625,-0.002770520326157566,450,-0.03200988098978996,0.0139217535,0.0003,0.0006359415696294945,-3.4948593243956565
,,,0.37219135999999997,96256,"continuous",2,4.0,215,192512,,18,0.2,0.8146730065345764,0.9580617137253284,0.142626953125,0.001358554544276558,460,0.019486887380480766,0.0061732763,0.0003,0.0004339859967970483,-3.490875478833914
,,,0.37289616999999997,98304,"continuous",3,4.0,212,194560,,28,0.2,0.8149628639221191,0.9842673558741808,0.249609375,-0.011736782985826722,470,-0.02093539573252201,0.024442319,0.0003,0.00014690574371201137,-3.4855841375887393
"Platform-v0","PPO-PPO",1,0.37489178,100352,"continuous",1,4.0,216,202752,16,9,0.2,0.8123169541358948,0.9815672338008881,0.180712890625,-0.004443901231570635,480,-0.0028139252681285143,0.017816382,0.0003,0.00020305688807980004,-3.464591533690691
,,,0.37437701999999995,102400,"continuous",2,4.0,211,204800,,19,0.2,0.8127403259277344,0.9724846333265305,0.205029296875,0.0005604077858151868,490,-0.011270664632320404,0.016239077,0.0003,0.00027672858298188885,-3.4453447431325914
,,,0.37366375000000007,104448,"continuous",3,4.0,211,206848,,29,0.2,0.8120386004447937,0.9842722527682781,0.176416015625,-0.0032330823363736273,500,-0.015668146312236786,0.008184741,0.0003,0.00014771671946078868,-3.440257190912962
